geo,anio,salario_min_eur,salario_min_pps,pib_pps,indice_vivienda,gini,brecha_genero,pobreza_laboral,tasa_desempleo,inflacion_hicp,es_eu27
AL,1999,45.0,89.0,,,,,,,,False
AL,2000,49.5,99.0,,,,,,,,False
AL,2001,56.5,107.5,,,,,,,,False
AL,2002,65.5,123.5,,,,,,,,False
AL,2003,70.5,143.0,,,,,,,,False
AL,2004,81.5,154.5,,,,,,,,False
AL,2005,90.0,168.5,,,,,,,,False
AL,2006,105.0,189.5,,,,,,,,False
AL,2007,114.0,204.0,,,,,,,,False
AL,2008,135.0,237.0,,,,,,,,False
AL,2009,137.5,244.0,,,,,,,,False
AL,2010,134.5,262.0,,,,,,,,False
AL,2011,139.0,278.0,,,,,,,,False
AL,2012,148.0,301.5,,,,,,,,False
AL,2013,153.0,309.0,29.0,,,,,,,False
AL,2014,157.0,314.0,30.0,,,,,,,False
AL,2015,157.0,326.0,30.0,,,,,,,False
AL,2016,160.0,314.0,30.0,,,,,,101.51,False
AL,2017,172.0,327.0,30.0,,36.8,,17.9,,104.76,False
AL,2018,186.0,336.0,30.0,,35.4,6.8,16.6,,106.59,False
AL,2019,211.5,363.0,30.0,,34.3,,14.7,,108.39,False
AL,2020,211.0,353.0,30.0,,33.2,,12.8,,110.74,False
AL,2021,244.0,398.0,31.0,,33.0,,12.7,,113.26,False
AL,2022,258.5,424.5,33.0,,31.0,,10.5,,120.69,False
AL,2023,337.0,521.5,38.0,,30.2,,9.9,,127.13,False
AL,2024,392.0,566.0,,,,,,,130.38,False
AL,2025,408.0,566.0,,,,,,,133.42,False
AL,2026,517.0,708.0,,,,,,,,False
AT,1999,,,,,,,,,73.58,True
AT,2000,,,,,,,,,75.02,True
AT,2001,,,,,,,,,76.74,True
AT,2002,,,,,,,,,78.04,True
AT,2003,,,,,,,7.7,,79.05,True
AT,2004,,,,,,,7.3,,80.6,True
AT,2005,,,,,,,6.8,,82.3,True
AT,2006,,,,,,25.5,6.3,,83.69,True
AT,2007,,,,,,25.5,6.1,,85.53,True
AT,2008,,,,,,25.1,8.5,,88.29,True
AT,2009,,,,,,24.3,8.2,5.7,88.64,True
AT,2010,,,,,,24.0,7.5,5.2,90.14,True
AT,2011,,,,,,23.5,7.6,4.9,93.35,True
AT,2012,,,,,,22.9,8.2,5.2,95.75,True
AT,2013,,,131.0,,,22.3,7.9,5.7,97.77,True
AT,2014,,,129.0,,,22.2,7.2,6.0,99.2,True
AT,2015,,,128.0,129.33,,21.8,7.8,6.1,100.0,True
AT,2016,,,128.0,138.0,27.2,20.8,8.3,6.5,100.97,True
AT,2017,,,125.0,145.02,27.9,20.7,7.7,5.9,103.22,True
AT,2018,,,126.0,153.68,26.8,20.4,8.0,5.2,105.41,True
