geo,anio,salario_minimo_eur,pib_pps,indice_vivienda,gini,brecha_genero
AT,2016,,128.0,138.0,27.2,20.8
AT,2017,,125.0,145.02,27.9,20.7
AT,2018,,126.0,153.68,26.8,20.4
AT,2019,,124.0,162.91,27.5,20.0
AT,2020,,123.0,175.25,27.0,19.2
AT,2021,,121.0,195.3,26.7,19.1
AT,2022,,123.0,217.9,27.8,18.7
AT,2023,,121.0,211.68,28.1,
AT,2024,,119.0,210.88,28.4,
BE,2016,,118.0,111.72,26.3,6.0
BE,2017,,117.0,115.67,26.1,5.8
BE,2018,,116.0,119.16,25.7,5.8
BE,2019,,117.0,123.62,,4.7
BE,2020,,118.0,128.92,25.3,3.2
BE,2021,1626.0,117.0,137.52,24.1,1.8
BE,2022,1750.0,118.0,145.12,24.7,0.7
BE,2023,1955.0,118.0,148.52,24.3,
BE,2024,2032.0,,153.3,24.6,
BG,2016,,51.0,101.15,,14.6
BG,2017,,52.0,109.91,40.2,14.3
BG,2018,,53.0,117.16,39.6,13.9
BG,2019,,55.0,124.21,40.8,14.0
BG,2020,,57.0,129.87,40.0,12.5
BG,2021,332.0,60.0,141.14,39.7,11.9
BG,2022,347.5,62.0,,38.4,12.6
BG,2023,399.0,63.0,176.43,37.2,
BG,2024,477.0,66.0,205.54,38.4,
CY,2016,,86.0,88.42,32.1,12.3
CY,2017,,88.0,92.55,30.8,11.2
CY,2018,,89.0,91.3,29.1,10.4
CY,2019,,91.0,98.94,31.5,10.5
CY,2020,,89.0,104.07,29.3,9.9
CY,2021,,92.0,102.48,29.3,11.0
CY,2022,,95.0,109.14,29.0,11.9
CY,2023,940.0,97.0,119.22,29.3,
CY,2024,1000.0,,127.95,30.1,
CZ,2016,,89.0,112.5,25.1,
CZ,2017,,92.0,125.8,24.5,
CZ,2018,,93.0,136.5,24.0,
CZ,2019,,95.0,149.0,24.0,19.3
CZ,2020,,96.0,161.6,24.2,16.7
CZ,2021,596.0,92.0,193.5,24.8,15.4
CZ,2022,653.5,90.0,226.1,24.8,18.4
CZ,2023,723.0,91.0,222.3,24.4,
CZ,2024,759.5,91.0,233.5,23.7,
DE,2016,,126.0,128.2,29.5,21.1
DE,2017,,126.0,136.1,29.1,20.4
DE,2018,,125.0,145.1,31.1,20.1
DE,2019,,122.0,153.5,29.7,19.2
DE,2020,,123.0,165.4,,18.3
DE,2021,1602.0,120.0,184.5,31.2,17.6
DE,2022,1686.5,,195.7,29.0,
DE,2023,1997.0,,179.3,29.4,
DE,2024,2054.0,,176.5,29.5,
DK,2016,,126.0,115.35,27.7,15.1
DK,2017,,128.0,121.07,27.6,14.8
DK,2018,,127.0,126.4,27.8,14.6
DK,2019,,125.0,129.21,27.5,17.7
DK,2020,,132.0,134.77,,13.8
DK,2021,,133.0,150.33,27.0,14.2
DK,2022,,134.0,157.41,27.7,13.8
DK,2023,,126.0,151.44,28.2,
DK,2024,,127.0,156.76,28.6,
EE,2016,,78.0,163.92,32.7,24.8
EE,2017,,80.0,172.95,31.6,24.9
EE,2018,,82.0,183.2,30.6,21.8
EE,2019,,84.0,196.04,30.5,21.6
EE,2020,,85.0,207.81,30.5,21.0
EE,2021,584.0,85.0,239.09,30.6,20.3
EE,2022,654.0,83.0,292.27,31.9,21.1
EE,2023,725.0,80.0,309.43,31.8,
EE,2024,820.0,79.0,328.31,30.8,
EL,2016,,67.0,,34.3,
EL,2017,,67.0,,33.4,
EL,2018,,66.0,,32.3,10.4
EL,2019,,66.0,,31.0,
EL,2020,,62.0,,31.4,
EL,2021,758.0,64.0,,32.4,
EL,2022,803.0,66.0,,31.4,13.5
EL,2023,871.0,,,31.8,
EL,2024,939.0,,,31.8,
ES,2016,,92.0,77.76,34.5,14.8
ES,2017,,93.0,82.57,34.1,13.5
ES,2018,,91.0,88.13,33.2,11.9
ES,2019,,91.0,92.69,33.0,9.6
ES,2020,,83.0,94.76,32.1,9.3
ES,2021,1108.0,85.0,98.25,33.0,9.3
ES,2022,1146.5,88.0,105.52,32.0,9.2
ES,2023,1213.5,,109.76,31.5,
ES,2024,1323.0,,119.1,31.2,
FI,2016,,109.0,107.89,25.4,17.5
FI,2017,,110.0,109.06,25.3,17.1
FI,2018,,109.0,110.07,25.9,16.9
FI,2019,,107.0,110.53,26.2,16.7
FI,2020,,112.0,112.48,26.5,16.9
FI,2021,,109.0,117.65,25.7,16.9
FI,2022,,106.0,118.78,26.6,16.0
FI,2023,,103.0,111.4,26.6,
FI,2024,,102.0,107.95,26.1,
FR,2016,,105.0,101.31,29.3,15.9
FR,2017,,103.0,104.51,28.8,16.3
FR,2018,,103.0,107.57,28.5,16.7
FR,2019,,105.0,111.14,29.2,16.0
FR,2020,,104.0,116.92,,15.0
FR,2021,1555.0,101.0,124.3,29.3,13.7
FR,2022,1624.5,97.0,132.16,,12.8
FR,2023,1728.0,,131.6,29.7,
FR,2024,1767.0,,126.72,30.0,
HR,2016,,62.0,91.33,29.8,11.6
HR,2017,,63.0,94.82,29.9,12.3
HR,2018,,64.0,100.61,29.7,11.4
HR,2019,,67.0,109.63,29.2,10.2
HR,2020,,66.0,118.03,28.3,8.7
HR,2021,567.0,70.0,126.66,29.2,7.3
HR,2022,623.0,72.0,145.46,28.5,7.7
HR,2023,700.0,78.0,162.83,,
HR,2024,840.0,,179.72,,
HU,2016,,69.0,121.06,28.2,14.0
HU,2017,,69.0,135.86,28.1,
HU,2018,,72.0,155.35,28.7,14.2
HU,2019,,73.0,181.69,,
HU,2020,,75.0,190.67,28.2,
HU,2021,476.0,75.0,222.12,27.4,
HU,2022,523.0,76.0,271.75,26.9,
HU,2023,601.5,76.0,291.0,28.6,
HU,2024,686.0,,,28.0,
IE,2016,,178.0,101.42,29.6,
IE,2017,,187.0,112.44,30.6,
IE,2018,,192.0,123.94,28.9,11.3
IE,2019,,190.0,126.85,,10.3
IE,2020,,205.0,127.24,,9.0
IE,2021,1724.0,225.0,137.77,26.6,9.9
IE,2022,1775.0,237.0,154.74,26.9,9.3
