freq,purchase,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DW_EXST,I10_A_AVG,AT	128.63 	136.27 	144.48 	153.57 	162.82 	175.30 	198.25 	221.28 	212.27 	208.89 
A,DW_EXST,I10_A_AVG,BE	108.42 	110.71 	114.46 	117.96 	122.63 	127.83 	136.53 	144.12 	147.53 	151.32 
A,DW_EXST,I10_A_AVG,BG	92.29 b	99.07 	108.70 	116.35 	121.93 	129.22 	141.15 	163.17 b	180.44 	208.82 
A,DW_EXST,I10_A_AVG,CY	91.93 b	91.65 	91.62 	90.26 	91.70 	94.14 	95.32 	100.16 	107.65 	115.22 
A,DW_EXST,I10_A_AVG,CZ	105.40 	113.10 	126.00 	136.30 	148.90 	161.20 	193.50 	225.50 	221.70 	232.80 
A,DW_EXST,I10_A_AVG,DE	119.20 	128.30 	136.50 	145.60 	154.70 	167.10 	187.60 	199.00 	180.30 	176.70 
A,DW_EXST,I10_A_AVG,DK	109.38 b	114.40 	120.10 	125.42 	128.22 	133.79 	149.35 	156.32 	150.27 	155.57 
A,DW_EXST,I10_A_AVG,EA	99.20 	103.25 	107.96 	113.21 	118.16 	124.39 	134.68 	144.27 	141.21 	143.32 
A,DW_EXST,I10_A_AVG,EA19	99.35 	103.40 	108.12 	113.38 	118.33 	124.58 	134.88 	144.49 	141.33 	143.32 
A,DW_EXST,I10_A_AVG,EA20	99.29 	103.33 	108.05 	113.32 	118.31 	124.59 	134.88 	144.57 	141.58 	143.70 
A,DW_EXST,I10_A_AVG,EA21	99.21 	103.27 	108.02 	113.30 	118.30 	124.58 	134.89 	144.66 	141.83 	144.13 
A,DW_EXST,I10_A_AVG,EE	148.70 	155.18 	164.39 	171.05 	182.55 	188.88 	221.25 	277.52 	282.03 	300.66 
A,DW_EXST,I10_A_AVG,ES	71.09 	74.15 	78.78 	84.12 	88.15 	89.42 	92.64 	99.37 	102.61 	110.90 
A,DW_EXST,I10_A_AVG,EU	102.38 	107.37 	112.68 	118.04 	123.14 	130.02 	141.49 	152.32 	149.97 	153.70 
A,DW_EXST,I10_A_AVG,EU27_2020	100.00 	104.49 	109.74 	115.27 	120.90 	127.80 	139.07 	149.73 	147.42 	151.09 
A,DW_EXST,I10_A_AVG,EU28	102.37 	107.35 	112.66 	118.02 	123.12 	: 	: 	: 	: 	: 
A,DW_EXST,I10_A_AVG,FI	103.16 b	104.30 	104.97 	105.69 	105.83 	107.27 	111.94 	112.22 	103.83 	100.41 
A,DW_EXST,I10_A_AVG,FR	99.42 	100.34 	103.37 	106.48 	109.95 	116.08 	123.73 	131.64 	130.76 	125.44 
A,DW_EXST,I10_A_AVG,HR	89.95 	91.58 	95.75 	102.04 	111.29 	120.79 	129.47 	148.24 	166.61 	184.73 
A,DW_EXST,I10_A_AVG,HU	106.38 	120.78 	135.13 	154.57 	181.48 	188.60 	218.88 	268.04 	283.91 	321.83 p
A,DW_EXST,I10_A_AVG,IE	95.63 	102.76 	114.96 	126.61 	128.89 	128.52 	141.20 	160.25 	162.14 	176.75 
A,DW_EXST,I10_A_AVG,IT	78.90 	79.00 	78.10 	77.30 	77.00 	78.40 	80.20 	82.90 	83.30 	85.00 
A,DW_EXST,I10_A_AVG,LT	117.33 	124.92 	135.61 	145.23 	155.46 	167.46 	196.14 	232.01 	247.88 	271.57 
A,DW_EXST,I10_A_AVG,LU	123.01 	130.65 	138.08 	148.82 	164.98 	189.21 	217.49 	236.72 	210.47 	197.73 
A,DW_EXST,I10_A_AVG,LV	118.22 	128.27 	139.69 	153.96 	167.66 	171.89 	195.99 	223.78 	225.50 	230.97 
A,DW_EXST,I10_A_AVG,MT	116.42 	124.32 	131.07 	136.89 	143.80 	153.19 	156.52 	165.74 	176.99 	189.67 p
A,DW_EXST,I10_A_AVG,NL	88.68 	93.56 	101.15 	110.47 	118.25 	127.57 	146.77 	166.29 	161.55 	175.67 
A,DW_EXST,I10_A_AVG,NO	132.22 	143.14 	151.20 	152.90 	157.05 	164.18 	180.75 	190.36 	190.44 	196.27 
A,DW_EXST,I10_A_AVG,PL	92.82 	95.18 	99.43 	106.89 	118.03 	134.29 	146.74 	164.02 	175.97 	199.58 
A,DW_EXST,I10_A_AVG,PT	91.28 	99.20 	109.52 	121.59 	134.04 	146.22 	160.32 	182.59 	198.49 	217.83 
A,DW_EXST,I10_A_AVG,RO	81.73 	86.63 	92.95 	98.46 	102.18 	107.23 	112.60 	118.38 	119.06 	123.09 
A,DW_EXST,I10_A_AVG,SE	139.06 	150.93 	161.00 	156.26 	159.34 	168.48 	189.16 	192.69 	179.74 	182.21 
A,DW_EXST,I10_A_AVG,SI	84.27 	87.44 	94.29 	102.66 	110.86 	116.16 	129.56 	149.59 	160.48 	172.38 
A,DW_EXST,I10_A_AVG,SK	106.45 	113.85 	120.05 	129.82 	144.07 	159.29 	171.18 	191.91 	192.68 	200.62 
A,DW_EXST,I10_A_AVG,TR	175.00 	197.17 	218.90 	236.58 	246.36 	304.25 	412.75 	1046.23 	2066.46 	2915.86 
A,DW_EXST,I10_A_AVG,UK	115.88 	123.77 	129.36 	133.40 	134.75 	: 	: 	: 	: 	: 
A,DW_EXST,I15_A_AVG,AT	100.00 	105.95 	112.33 	119.40 	126.58 	136.29 	154.13 	172.03 	165.02 	162.40 
A,DW_EXST,I15_A_AVG,BE	100.00 	102.12 	105.58 	108.80 	113.11 	117.91 	125.93 	132.93 	136.08 	139.57 
A,DW_EXST,I15_A_AVG,BG	100.00 b	107.34 	117.77 	126.07 	132.11 	140.01 	152.94 	176.79 b	195.51 	226.26 
A,DW_EXST,I15_A_AVG,CY	100.00 b	99.69 	99.66 	98.19 	99.75 	102.40 	103.68 	108.95 	117.10 	125.33 
A,DW_EXST,I15_A_AVG,CZ	100.00 	107.30 	119.60 	129.30 	141.30 	153.00 	183.60 	214.00 	210.40 	220.90 
A,DW_EXST,I15_A_AVG,DE	100.00 	107.60 	114.50 	122.20 	129.80 	140.20 	157.50 	167.00 	151.30 	148.20 
A,DW_EXST,I15_A_AVG,DK	100.00 b	104.59 	109.81 	114.67 	117.23 	122.33 	136.55 	142.92 	137.39 	142.24 
A,DW_EXST,I15_A_AVG,EA	100.00 	104.08 	108.83 	114.12 	119.11 	125.40 	135.77 	145.44 	142.35 	144.48 
A,DW_EXST,I15_A_AVG,EA19	100.00 	104.08 	108.83 	114.12 	119.11 	125.40 	135.77 	145.44 	142.26 	144.27 
A,DW_EXST,I15_A_AVG,EA20	100.00 	104.07 	108.82 	114.12 	119.16 	125.48 	135.84 	145.60 	142.59 	144.72 
A,DW_EXST,I15_A_AVG,EA21	100.00 	104.09 	108.88 	114.21 	119.25 	125.58 	135.96 	145.82 	142.96 	145.27 
A,DW_EXST,I15_A_AVG,EE	100.00 	104.35 	110.55 	115.03 	122.76 	127.02 	148.79 	186.63 	189.66 	202.19 
A,DW_EXST,I15_A_AVG,ES	100.00 	104.32 	110.82 	118.34 	124.00 	125.79 	130.32 	139.80 	144.35 	156.01 
A,DW_EXST,I15_A_AVG,EU	100.00 	104.87 	110.06 	115.29 	120.28 	126.99 	138.19 	148.77 	146.48 	150.13 
A,DW_EXST,I15_A_AVG,EU27_2020	100.00 	104.49 	109.75 	115.27 	120.90 	127.80 	139.08 	149.73 	147.42 	151.09 
A,DW_EXST,I15_A_AVG,EU28	100.00 	104.87 	110.06 	115.29 	120.28 	: 	: 	: 	: 	: 
A,DW_EXST,I15_A_AVG,FI	100.00 b	101.10 	101.76 	102.45 	102.59 	103.99 	108.51 	108.78 	100.65 	97.34 
A,DW_EXST,I15_A_AVG,FR	100.00 	100.93 	103.98 	107.10 	110.60 	116.76 	124.46 	132.42 	131.52 	126.17 
A,DW_EXST,I15_A_AVG,HR	100.00 	101.81 	106.45 	113.44 	123.73 	134.29 	143.93 	164.80 	185.23 	205.37 
A,DW_EXST,I15_A_AVG,HU	100.00 	113.54 	127.02 	145.30 	170.60 	177.29 	205.76 	251.97 	266.89 	302.53 p
A,DW_EXST,I15_A_AVG,IE	100.00 	107.45 	120.22 	132.40 	134.78 	134.40 	147.66 	167.58 	169.55 	184.83 
A,DW_EXST,I15_A_AVG,IS	: 	109.77 d	131.20 d	142.01 d	148.29 d	157.79 d	177.57 d	214.84 d	231.57 d	250.22 d
A,DW_EXST,I15_A_AVG,IT	100.00 	100.10 	98.90 	98.00 	97.60 	99.40 	101.60 	105.10 	105.50 	107.80 
A,DW_EXST,I15_A_AVG,LT	100.00 	106.47 	115.58 	123.78 	132.50 	142.72 	167.17 	197.74 	211.26 	231.46 
A,DW_EXST,I15_A_AVG,LU	100.00 	106.21 	112.26 	120.98 	134.12 	153.82 	176.81 	192.44 	171.11 	160.75 
A,DW_EXST,I15_A_AVG,LV	100.00 	108.51 	118.17 	130.24 	141.83 	145.40 	165.80 	189.30 	190.76 	195.38 
A,DW_EXST,I15_A_AVG,MT	100.00 	106.78 	112.58 	117.58 	123.51 	131.58 	134.44 	142.36 	152.02 	162.92 p
A,DW_EXST,I15_A_AVG,NL	100.00 	105.51 	114.06 	124.57 	133.34 	143.85 	165.50 	187.52 	182.18 	198.10 
A,DW_EXST,I15_A_AVG,NO	100.00 	108.25 	114.35 	115.64 	118.77 	124.17 	136.71 	143.97 	144.03 	148.44 
A,DW_EXST,I15_A_AVG,PL	100.00 	102.55 	107.13 	115.17 	127.16 	144.68 	158.10 	176.72 	189.59 	215.02 
A,DW_EXST,I15_A_AVG,PT	100.00 	108.68 	119.98 	133.20 	146.85 	160.18 	175.63 	200.03 	217.44 	238.63 
A,DW_EXST,I15_A_AVG,RO	100.00 	106.00 	113.73 	120.48 	125.03 	131.20 	137.78 	144.85 	145.68 	150.61 
A,DW_EXST,I15_A_AVG,SE	100.00 	108.54 	115.78 	112.37 	114.59 	121.16 	136.03 	138.57 	129.26 	131.03 
A,DW_EXST,I15_A_AVG,SI	100.00 	103.77 	111.89 	121.83 	131.56 	137.85 	153.75 	177.53 	190.45 	204.57 
A,DW_EXST,I15_A_AVG,SK	100.00 	106.96 	112.77 	121.96 	135.34 	149.64 	160.81 	180.29 	181.01 	188.46 
A,DW_EXST,I15_A_AVG,TR	100.00 	112.68 	125.09 	135.19 	140.78 	173.86 	235.87 	597.87 	1180.88 	1666.27 
A,DW_EXST,I15_A_AVG,UK	100.00 	106.81 	111.63 	115.12 	116.28 	: 	: 	: 	: 	: 
A,DW_EXST,RCH_A_AVG,AT	5.8 	5.9 	6.0 	6.3 	6.0 	7.7 	13.1 	11.6 	-4.1 	-1.6 
A,DW_EXST,RCH_A_AVG,BE	1.2 	2.1 	3.4 	3.1 	4.0 	4.2 	6.8 	5.6 	2.4 	2.6 
A,DW_EXST,RCH_A_AVG,BG	2.3 b	7.3 	9.7 	7.0 	4.8 	6.0 	9.2 	15.6 b	10.6 	15.7 
A,DW_EXST,RCH_A_AVG,CY	-1.6 b	-0.3 	0.0 	-1.5 	1.6 	2.7 	1.3 	5.1 	7.5 	7.0 
A,DW_EXST,RCH_A_AVG,CZ	4.0 	7.3 	11.4 	8.1 	9.3 	8.3 	20.0 	16.5 	-1.7 	5.0 
A,DW_EXST,RCH_A_AVG,DE	4.6 	7.6 	6.4 	6.7 	6.2 	8.0 	12.3 	6.0 	-9.4 	-2.0 
A,DW_EXST,RCH_A_AVG,DK	6.9 b	4.6 	5.0 	4.4 	2.2 	4.3 	11.6 	4.7 	-3.9 	3.5 
A,DW_EXST,RCH_A_AVG,EA	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	7.1 	-2.1 	1.5 
A,DW_EXST,RCH_A_AVG,EA19	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	7.1 	-2.2 	1.4 
A,DW_EXST,RCH_A_AVG,EA20	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	7.2 	-2.1 	1.5 
A,DW_EXST,RCH_A_AVG,EA21	1.5 	4.1 	4.6 	4.9 	4.4 	5.3 	8.3 	7.2 	-2.0 	1.6 
A,DW_EXST,RCH_A_AVG,EE	4.9 	4.3 	5.9 	4.0 	6.7 	3.5 	17.1 	25.4 	1.6 	6.6 
A,DW_EXST,RCH_A_AVG,ES	3.4 	4.3 	6.2 	6.8 	4.8 	1.4 	3.6 	7.3 	3.3 	8.1 
A,DW_EXST,RCH_A_AVG,EU	2.9 	4.9 	4.9 	4.8 	4.3 	5.6 	8.8 	7.7 	-1.5 	2.5 
A,DW_EXST,RCH_A_AVG,EU27_2020	2.3 	4.5 	5.0 	5.0 	4.9 	5.7 	8.8 	7.7 	-1.5 	2.5 
A,DW_EXST,RCH_A_AVG,EU28	2.9 	4.9 	4.9 	4.8 	4.3 	: 	: 	: 	: 	: 
A,DW_EXST,RCH_A_AVG,FI	-0.5 b	1.1 	0.6 	0.7 	0.1 	1.4 	4.3 	0.3 	-7.5 	-3.3 
A,DW_EXST,RCH_A_AVG,FR	-1.8 	0.9 	3.0 	3.0 	3.3 	5.6 	6.6 	6.4 	-0.7 	-4.1 
A,DW_EXST,RCH_A_AVG,HR	-1.4 	1.8 	4.6 	6.6 	9.1 	8.5 	7.2 	14.5 	12.4 	10.9 
A,DW_EXST,RCH_A_AVG,HU	13.3 	13.5 	11.9 	14.4 	17.4 	3.9 	16.1 	22.5 	5.9 	13.4 p
A,DW_EXST,RCH_A_AVG,IE	10.9 	7.4 	11.9 	10.1 	1.8 	-0.3 	9.9 	13.5 	1.2 	9.0 
A,DW_EXST,RCH_A_AVG,IS	: 	: 	19.5 d	8.2 d	4.4 d	6.4 d	12.5 d	21.0 d	7.8 d	8.1 d
A,DW_EXST,RCH_A_AVG,IT	-4.5 	0.1 	-1.2 	-1.0 	-0.4 	1.9 	2.2 	3.4 	0.4 	2.2 
A,DW_EXST,RCH_A_AVG,LT	3.4 	6.5 	8.6 	7.1 	7.0 	7.7 	17.1 	18.3 	6.8 	9.6 
