Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
69.8,44,57540.2,192.44,Configurable proactive initiative,City_34,0,Grenada,2016-05-19 09:44:43,0
39.95,41,59049.39,181.56,Integrated integrated forecast,City_399,0,San Marino,2016-10-25 21:00:34,1
58.06,46,50740.72,162.63,Extended extended policy,City_265,1,Mexico,2016-06-18 08:10:45,1
57.97,41,59324.97,140.07,Enhanced reduced functionalities capability,City_385,0,Bolivia,2016-05-10 07:57:13,1
76.05,23,64677.42,203.01,Configurable cloned policy,City_478,0,Myanmar,2016-12-13 17:20:39,0
53.3,47,36869.79,164.81,Enhanced extended initiative,City_405,1,Burundi,2016-12-20 19:49:41,1
48.92,23,49138.87,156.43,Integrated reduced capability system,City_351,1,Egypt,2016-06-18 06:54:17,1
77.51,43,64073.29,194.84,Proactive persevering productivity capability,City_203,0,Czech Republic,2016-11-12 23:30:18,0
46.66,26,41472.11,109.47,Configurable proactive solution system,City_123,0,Japan,2016-01-25 01:11:04,1
43.06,41,37172.56,119.99,Proactive persevering capability system,City_441,1,Argentina,2016-07-08 21:03:24,1
54.64,19,30396.09,101.72,Persevering extended methodology capability,City_367,0,India,2016-11-03 00:52:50,1
49.0,28,39061.75,156.58,Universal integrated forecast,City_345,0,San Marino,2016-10-09 06:50:19,1
67.14,36,80000.0,251.73,Synergistic proactive analyzer,City_279,1,Australia,2016-07-13 22:30:36,0
60.23,19,61599.05,249.48,Integrated cloned protocol,City_253,1,Peru,2016-03-19 16:02:10,0
90.56,42,50141.07,208.69,Extended universal productivity,City_49,0,China,2016-02-13 02:19:31,0
51.12,32,60050.63,148.43,Synergistic universal system capability,City_3,1,Australia,2016-02-01 07:06:24,1
61.78,42,60583.3,149.58,Integrated proactive emulation system,City_171,0,Iceland,2016-11-21 17:48:24,1
90.68,30,51058.88,189.61,Proactive synergistic policy  solution,City_109,0,China,2016-02-08 02:29:23,0
59.45,51,44282.59,176.69,Synergistic synergistic protocol,City_141,0,Germany,2016-04-24 02:09:59,1
80.08,39,63629.83,218.06,Synergistic enhanced protocol,City_261,0,Myanmar,2016-04-01 14:08:01,0
41.36,41,40243.09,146.73,Synergistic reduced protocol  solution,City_353,1,Egypt,2016-10-09 16:02:41,1
63.23,35,60630.84,175.12,Proactive synergistic infrastructure,City_393,1,Australia,2016-08-24 03:11:52,1
89.85,19,62124.31,195.92,Integrated extended forecast system,City_86,1,Turkey,2016-01-07 16:03:37,0
87.9,35,57740.21,216.53,Persevering extended policy capability,City_280,0,Spain,2016-04-10 01:36:27,0
48.22,37,53778.08,110.77,Reduced configurable architecture capability,City_241,1,Russia,2016-07-19 20:04:39,1
65.3,37,72774.96,232.54,Synergistic proactive policy capability,City_62,0,Argentina,2016-09-21 10:01:09,0
57.23,31,43113.26,100.0,Extended universal initiative system,City_13,1,Ghana,2016-08-20 22:13:44,1
67.0,55,46580.21,164.0,Cloned extended productivity capability,City_69,1,Egypt,2016-09-08 22:55:35,0
59.08,27,45330.74,143.76,Extended proactive capability,City_56,1,Australia,2016-03-07 09:43:43,1
63.7,43,39210.42,110.79,Cloned reduced methodology capability,City_431,0,Argentina,2016-11-25 09:45:49,1
40.45,38,55876.6,181.1,Integrated proactive policy  solution,City_20,0,Argentina,2016-08-20 10:39:45,1
65.6,37,59294.42,205.26,Cloned configurable initiative capability,City_108,1,Czech Republic,2016-12-21 16:08:01,0
58.26,40,29343.4,153.24,Cloned reduced architecture,City_373,0,Brazil,2016-03-17 14:55:28,1
57.49,33,57003.52,223.55,Reduced enhanced paradigm  solution,City_494,0,Ghana,2016-12-26 22:52:30,0
55.54,27,55159.59,137.48,Universal cloned architecture system,City_416,1,Australia,2016-02-06 21:14:02,1
73.69,21,44788.06,137.15,Universal reduced analyzer capability,City_127,0,Australia,2016-11-20 16:10:01,1
64.0,39,77849.05,207.98,Cloned synergistic capability,City_88,1,Brazil,2016-04-12 11:20:10,0
45.35,46,80000.0,111.86,Extended configurable solution capability,City_23,1,Norway,2016-08-19 19:47:35,1
62.8,35,49099.82,159.24,Persevering extended framework  solution,City_275,0,San Marino,2016-01-10 17:03:31,1
48.76,34,51310.75,143.44,Synergistic universal solution  solution,City_212,1,Mexico,2016-04-29 01:42:05,1
44.1,30,53052.2,147.32,Reduced enhanced forecast  solution,City_212,0,Czech Republic,2016-06-02 13:46:01,1
61.31,31,40310.65,129.5,Cloned persevering framework  solution,City_152,1,Ghana,2016-07-10 07:41:06,1
71.12,42,77805.28,232.88,Cloned universal architecture  solution,City_254,0,India,2016-01-10 06:40:51,0
45.48,40,46631.08,149.35,Enhanced integrated infrastructure capability,City_447,0,Brazil,2016-01-12 09:54:45,1
69.31,43,43606.32,222.82,Proactive reduced system capability,City_94,1,Russia,2016-02-01 05:41:31,0
95.0,46,49921.17,177.63,Reduced universal methodology  solution,City_183,0,Nauru,2016-08-25 21:16:59,0
75.51,39,60626.69,244.54,Extended synergistic architecture system,City_186,0,Grenada,2016-06-04 15:04:31,0
49.7,31,36879.93,152.73,Persevering enhanced system,City_72,0,Argentina,2016-04-11 23:08:15,1
